timestamp,timestamp_local,sample_rh,sample_temp,pm1,pm25,pm10
2023-07-13T00:30:34Z,2023-07-12T17:30:34Z,41.99,26.51,2.21,2.288,2.288
2023-07-13T00:29:34Z,2023-07-12T17:29:34Z,41.51,26.5,2.39,2.457,2.457
2023-07-13T00:28:34Z,2023-07-12T17:28:34Z,41.26,26.51,1.929,1.939,1.939
2023-07-13T00:27:34Z,2023-07-12T17:27:34Z,41.48,26.52,2.133,2.215,2.273
2023-07-13T00:26:34Z,2023-07-12T17:26:34Z,41.84,26.52,1.979,2.053,2.053
2023-07-13T00:25:34Z,2023-07-12T17:25:34Z,42.1,26.52,1.967,2.037,2.037
2023-07-13T00:24:34Z,2023-07-12T17:24:34Z,41.74,26.52,1.738,1.872,1.924
2023-07-13T00:23:34Z,2023-07-12T17:23:34Z,41.3,26.52,1.92,2.003,2.003
2023-07-13T00:22:34Z,2023-07-12T17:22:34Z,41.32,26.54,1.904,2.055,2.171
2023-07-13T00:21:34Z,2023-07-12T17:21:34Z,41.61,26.53,2.145,2.202,2.202
2023-07-13T00:20:34Z,2023-07-12T17:20:34Z,41.99,26.54,2.359,2.401,2.401
2023-07-13T00:19:34Z,2023-07-12T17:19:34Z,41.96,26.54,1.96,2.037,2.037
2023-07-13T00:18:34Z,2023-07-12T17:18:34Z,41.53,26.54,1.73,1.826,1.826
2023-07-13T00:17:34Z,2023-07-12T17:17:34Z,41.2,26.53,1.828,1.904,1.957
2023-07-13T00:16:34Z,2023-07-12T17:16:34Z,41.37,26.55,1.945,2.05,2.103
2023-07-13T00:15:34Z,2023-07-12T17:15:34Z,41.68,26.54,2.304,2.347,2.347
2023-07-13T00:14:34Z,2023-07-12T17:14:34Z,42.04,26.55,1.85,1.934,1.934
2023-07-13T00:13:34Z,2023-07-12T17:13:34Z,41.88,26.55,2.479,2.547,2.547
2023-07-13T00:12:34Z,2023-07-12T17:12:34Z,41.38,26.56,2.162,2.245,2.298
2023-07-13T00:11:34Z,2023-07-12T17:11:34Z,41.15,26.56,1.725,1.81,1.81
2023-07-13T00:10:34Z,2023-07-12T17:10:34Z,41.36,26.57,1.67,1.718,1.718
2023-07-13T00:09:34Z,2023-07-12T17:09:34Z,41.77,26.58,1.888,1.968,1.968
2023-07-13T00:08:34Z,2023-07-12T17:08:34Z,42.01,26.57,2.11,2.215,2.449
2023-07-13T00:07:34Z,2023-07-12T17:07:34Z,41.63,26.58,2.314,2.381,2.381
2023-07-13T00:06:34Z,2023-07-12T17:06:34Z,41.21,26.59,1.991,2.087,2.087
2023-07-13T00:05:34Z,2023-07-12T17:05:34Z,41.16,26.59,1.933,2.102,2.159
2023-07-13T00:04:34Z,2023-07-12T17:04:34Z,41.46,26.59,2.256,2.403,2.461
2023-07-13T00:03:34Z,2023-07-12T17:03:34Z,41.86,26.6,2.028,2.144,2.199
2023-07-13T00:02:34Z,2023-07-12T17:02:34Z,41.9,26.59,2.312,2.454,2.511
2023-07-13T00:01:34Z,2023-07-12T17:01:34Z,41.47,26.59,2.645,2.734,2.734
