ID,Bs PM-1,Dec PM-1,Jan PM-1,Feb PM-1,Mar PM-1,Bs PM-25,Dec PM-25,Jan PM-25,Feb PM-25,Mar PM-25,Bs PM-10,Dec PM-10,Jan PM-10,Feb PM-10,Mar PM-10,Apr PM-1,Apr PM-25,Apr PM-10,May PM-1,May PM-25,May PM-10,all PM-1,all PM-25,all PM-10
1,2.171956916,6.052341328,2.68525835,1.813234981,2.510523853,3.340735828,6.983837638,3.362542145,2.44738922,3.422114985,12.05123243,12.06176507,8.54637109,9.275940349,9.611015596,2.374785612,0.554841367,11.6741193,3.041842269,4.213739095,10.8647549,2.879502851,3.840237339,10.43451024
2,1.86763541,2.481193506,1.378659774,1.128252665,1.439875097,2.158551908,2.724935931,1.745316189,1.577104478,1.898640927,6.45199899,6.266659307,7.082575645,7.976220505,7.98718668,1.627851267,2.192952721,9.194491598,1.822895242,2.331680454,8.490343066,1.575689294,2.038681094,8.11003356
3,5.313181146,3.25,1.457249357,1.394762204,1.645550677,5.839071094,3.531398283,1.754345287,1.766762915,2.084310905,11.73906807,6.743179877,5.46539189,5.970947156,7.413389166,1.449238434,2.059348313,9.904511566,1.765012836,2.281311075,9.030545678,1.720657842,2.154103365,7.518201923
4,2.540349869,1.016067852,0.45868289,0.36656843,0.459493617,2.96246417,1.174207674,0.616744105,0.558680503,0.635985872,9.674498533,4.36107067,3.750119861,3.797012927,3.611714043,0.437422481,0.675717291,3.827615628,0.603325109,0.829390862,3.748727901,0.522822417,0.719366902,3.823778398
5,5.634938194,2.85572028,2.331840898,1.932339277,1.441830553,6.353097083,3.260469624,2.839850827,2.413874703,1.867777374,16.30004104,9.587887238,10.71723144,12.5696467,9.522409744,1.518167571,2.164723089,11.24288648,1.806783983,2.366178499,10.67353117,1.886767113,2.409145977,10.70961927
6,5.726611771,2.246035103,1.758480888,1.254931206,1.520824922,6.219687344,2.496610355,2.112418341,1.652679787,1.895878244,13.52433026,7.222435059,7.812760236,8.136622459,7.612052039,1.357253397,1.951795856,10.09813712,1.602130094,2.076564642,8.927265317,1.562484391,1.987891101,8.444199776
7,4.760597812,2.35361572,1.064044471,0.858481074,0.904376248,5.340146146,2.587561942,1.333427318,1.199394843,1.259328486,15.03750479,6.462311343,6.103687188,6.683472321,7.916882663,1.085594188,1.631142243,10.41252782,1.308157077,1.827625338,11.01875608,1.182013956,1.575725396,8.288332432
8,9.160576665,0,2.842262975,3.434258511,3.858742947,10.01640028,0,3.434906635,3.913459338,4.480549587,18.49917274,0,11.72689807,11.22156879,13.00705229,2.955656614,3.56499461,11.78141404,3.7025455,4.410961685,13.93732155,3.406423028,4.000950366,12.30157828
9,7.55379918,0,1.661173347,1.689900769,1.903431433,8.488647432,0,2.093054455,2.254156357,2.337043529,23.82846169,0,9.813433217,11.86851271,9.308076656,1.54715923,2.211901699,12.53544009,1.70659973,2.2789553,13.22277853,1.683926534,2.23157211,11.56810969
10,2.171875545,0,0.440189745,0.312595953,0.56494929,2.453366978,0,0.641048511,0.566385179,0.81256442,9.981195093,0,5.970938594,6.792455561,6.396322927,0.618210282,1.071843619,10.96462031,0.538507692,1.369589744,21.50656923,0.490507259,0.811251316,8.203205657
11,9.064239071,0,2.065656836,1.857198529,2.386190992,9.537445683,0,2.300954477,2.04313596,2.587517674,13.34563268,0,5.558435269,5.144690067,5.094488883,2.379852288,2.689368487,6.190336316,2.848310391,3.16934224,7.087741835,2.317031936,2.57111264,5.846325997
12,4.95215672,2.272289093,2.070019717,1.866904412,2.176861129,5.478080741,2.560907359,2.504877917,2.639272415,2.625740918,10.52808556,6.357782961,7.376816135,7.837233752,6.158053336,2.129157638,2.898775272,8.477361741,3.015296731,3.736231226,9.713524851,2.248384379,2.860555768,7.832741346
13,3.863769063,4.379563248,1.451025288,1.225621856,1.631020443,4.311054167,4.862003266,1.832633858,1.756596464,2.13889564,8.874932396,10.1801511,6.429280285,7.260730066,7.106432738,1.622799728,2.430326008,10.59381717,2.832178625,3.804673828,13.44283718,2.02393204,2.656150062,9.174822913
14,1.788223581,2.41362589,0.891408333,1.358500526,2.036304109,2.134514705,2.635268168,1.082635417,1.555293421,2.503300651,5.154217181,5.135203112,3.599739583,4.103605789,5.866292311,1.858627857,2.23717685,5.022000113,1.800883567,2.14573381,4.783384781,1.904152984,2.233684028,4.986849081
15,0.816103903,0.910822078,2.48093997,0.3066936,0.304009674,1.138500628,1.027168831,2.793890649,0.427569265,0.440457275,6.891227815,2.777236797,5.218984615,2.519906305,2.443764208,0.635702397,0.851132519,3.245813094,0.840617679,1.083297301,4.698517139,0.893696729,1.094322464,3.573415369
16,1.200529688,2.678444156,1.193471094,1.006345413,0.954515968,2.302601042,3.010405628,2.048090264,1.711960092,1.384371115,35.18401771,13.04889481,29.82281132,23.10362324,15.73409381,1.204630395,1.981801017,20.81987446,1.735980917,2.659264669,32.18427376,1.292834136,1.999628349,23.1118068
