Classroom,Good,Moderate,Unhealthy,Unhealthy Sensitive,Very Unhealthy,Hazardous
39,79.30012,19.33571,0.237248,1.126928,0,0
44,58.37806,37.14967,0.238521,4.233751,0,0
42,55.38012,38.94737,0.584795,4.269006,0.350877,0.467836
45,52.74854,36.08187,2.105263,8.304094,0.350877,0.409357
50,46.43275,36.60819,4.678363,11.16959,0.818713,0.292398
43,44.97076,39.06433,2.982456,11.05263,0.818713,1.111111
49,42.81525,40.93842,3.812317,10.85044,0.997067,0.58651
46,31.81287,38.59649,6.023392,22.2807,0.935673,0.350877
48,31.75439,35.32164,7.017544,15.67251,3.450292,6.783626
47,29.06433,28.47953,10.46784,18.77193,4.502924,8.71345
41,20.93567,25.20468,15.90643,27.4269,5.087719,5.438596
40,18.86792,22.36198,13.7666,22.71139,6.498952,15.79315
