timestamp,timestamp_local,sample_rh,sample_temp,pm1,pm25,pm10
2023-06-29T21:20:34Z,2023-06-29T14:20:34Z,27.2,26.89,3.82,4.064,4.294
2023-06-29T21:19:34Z,2023-06-29T14:19:34Z,27.0,26.89,4.47,4.697,4.754
2023-06-29T21:18:34Z,2023-06-29T14:18:34Z,26.93,26.89,4.553,4.715,4.715
2023-06-29T21:17:34Z,2023-06-29T14:17:34Z,26.98,26.89,5.227,5.519,5.634
2023-06-29T21:16:34Z,2023-06-29T14:16:34Z,27.15,26.89,4.423,4.693,4.981
2023-06-29T21:15:34Z,2023-06-29T14:15:34Z,27.42,26.9,5.301,5.484,5.484
2023-06-29T21:14:34Z,2023-06-29T14:14:34Z,27.42,26.89,4.737,4.984,5.041
2023-06-29T21:13:34Z,2023-06-29T14:13:34Z,27.36,26.89,5.161,5.338,5.671
2023-06-29T21:12:34Z,2023-06-29T14:12:34Z,27.14,26.89,5.464,5.686,5.686
2023-06-29T21:11:34Z,2023-06-29T14:11:34Z,26.96,26.91,5.854,6.167,8.453
2023-06-29T21:10:34Z,2023-06-29T14:10:34Z,26.98,26.91,7.043,7.323,7.323
2023-06-29T21:09:34Z,2023-06-29T14:09:34Z,27.07,26.91,6.402,6.634,6.695
2023-06-29T21:08:34Z,2023-06-29T14:08:34Z,27.38,26.9,5.754,6.102,6.161
2023-06-29T21:07:34Z,2023-06-29T14:07:34Z,27.46,26.9,6.886,7.189,7.189
2023-06-29T21:06:34Z,2023-06-29T14:06:34Z,27.33,26.9,7.827,8.186,8.421
2023-06-29T21:05:34Z,2023-06-29T14:05:34Z,27.19,26.91,8.19,8.466,8.466
2023-06-29T21:04:34Z,2023-06-29T14:04:34Z,26.94,26.91,7.616,7.993,7.993
2023-06-29T21:03:34Z,2023-06-29T14:03:34Z,26.91,26.92,8.488,8.857,8.915
2023-06-29T21:02:34Z,2023-06-29T14:02:34Z,27.03,26.92,8.346,8.824,8.879
2023-06-29T21:01:34Z,2023-06-29T14:01:34Z,27.29,26.92,9.098,9.49,9.49
