ID,ACH Exponetial Fit,R Sqaure Exponetial Fit,ACH Linear Fit,R Square Linear Fit,Date,Diff ACH,Id
41,3.286417755,0.997896518,3.248289288,0.996315831,5/12/2023,0.038128467,B3
41,3.564440103,0.994232372,3.553421916,0.992951234,5/19/2023,0.011018187,B3
42,2.565121212,0.934626812,1.969801972,0.973339506,2/24/2023,0.59531924,B4
42,2.585817945,0.984976306,2.194216497,0.98978657,3/10/2023,0.391601448,B4
42,2.610045476,0.974287473,2.004636289,0.97680911,4/21/2023,0.605409186,B4
42,2.386125482,0.887578856,2.369462302,0.974112784,5/19/2023,0.01666318,B4
42,4.633535176,0.968368592,3.71906504,0.953226702,5/5/2023,0.914470136,B4
43,0.293607452,0.973685709,0.286696684,0.976361053,2/10/2023,0.006910767,B5
43,0.380541513,0.913821523,0.302228087,0.947844599,2/16/2023,0.078313426,B5
43,2.029191352,0.899688098,2.291448287,0.962987292,2/24/2023,0.262256935,B5
43,2.231130267,0.879890694,2.475260622,0.957840845,3/10/2023,0.244130356,B5
43,2.371240379,0.930950929,2.751569028,0.972383266,5/5/2023,0.380328649,B5
44,0.28687836,0.91229515,0.230359215,0.962483415,2/10/2023,0.056519144,B6
44,2.713272912,0.981375015,1.95647279,0.929835373,2/24/2023,0.756800122,B6
44,2.455559088,0.989293971,1.983459199,0.973956842,3/10/2023,0.472099889,B6
44,1.973606807,0.974246887,2.036212908,0.975759695,4/21/2023,0.062606101,B6
44,1.435016996,0.963360889,1.056101801,0.963069575,5/5/2023,0.378915194,B6
45,3.553284086,0.905058698,3.117866306,0.967495761,2/16/2023,0.43541778,B7
45,2.415916917,0.986963541,2.594786504,0.987378426,3/10/2023,0.178869588,B7
45,2.481510568,0.990904459,2.187393841,0.979972466,4/21/2023,0.294116726,B7
46,1.938523244,0.986176465,1.725497967,0.967695444,3/10/2023,0.213025276,B8
46,2.182743567,0.980921125,2.172048511,0.973216722,4/21/2023,0.010695055,B8
46,2.27289366,0.834333061,2.080656628,0.950656576,5/12/2023,0.192237032,B8
46,2.853123902,0.990989962,2.611400949,0.982517018,5/5/2023,0.241722952,B8
47,3.558290474,0.994950869,3.422366664,0.984453879,2/16/2023,0.13592381,B9
47,4.070713908,0.981455942,3.679748013,0.985535056,2/24/2023,0.390965895,B9
47,4.446500529,0.992177139,3.969929995,0.988369604,5/12/2023,0.476570534,B9
47,1.947152398,0.940839487,1.516509619,0.937068108,5/19/2023,0.430642779,B9
10,4.823770642,0.989589145,4.604380982,0.990794085,1/13/2023,0.21938966,A1
10,8.576156651,0.958289727,7.825908622,0.984808878,5/19/2023,0.750248029,A1
15,7.04142268,0.992193369,6.555340787,0.994622115,1/27/2023,0.486081893,A3
16,4.312095543,0.96317726,3.387056131,0.929753822,12/23/2022,0.925039411,A4
16,5.89344504,0.989969291,5.022747713,0.978815351,2/10/2023,0.870697326,A4
18,5.296027675,0.985797247,4.414220563,0.99505496,2/24/2023,0.881807112,A5
22,6.254791735,0.982610041,5.267303701,0.964613074,5/12/2023,0.987488034,A8
22,6.815229169,0.991298657,6.30027606,0.987691572,5/5/2023,0.514953109,A8
34,6.871176931,0.990457536,7.562657339,0.992423148,1/27/2023,0.691480408,A10
34,6.460727418,0.99440464,5.524459629,0.990452982,4/21/2023,0.936267789,A10
43,3.861628598,0.962088808,2.94978696,0.970442355,2/20/2023,0.911841638,B5
43,3.851293783,0.940903512,3.026726883,0.97309187,5/12/2023,0.8245669,B5
44,4.34579603,0.975043725,3.425960795,0.949489973,2/16/2023,0.919835235,B6
45,3.484723549,0.946876926,2.527503116,0.96710444,5/12/2023,0.957220433,B7
46,4.78317557,0.984603111,3.914388078,0.970552455,2/24/2023,0.868787493,B8
47,3.771362888,0.983321336,2.967868994,0.960515106,5/5/2023,0.803493894,B9
10,5.837038385,0.992145559,4.605578924,0.989506533,2/24/2023,1.231459461,A1
16,4.470183614,0.950251113,2.561113559,0.935219835,1/13/2023,1.909070056,A4
16,3.510785863,0.96281565,2.453138048,0.937816374,1/27/2023,1.057647815,A4
16,5.487574529,0.983691362,4.397884516,0.967362616,2/24/2023,1.089690013,A4
16,5.311070313,0.983977094,4.120134435,0.952637978,5/12/2023,1.190935878,A4
16,5.405320855,0.988625591,4.40445961,0.972689346,5/5/2023,1.000861245,A4
18,5.292970114,0.984203379,4.16041718,0.994332686,2/10/2023,1.132552933,A5
18,5.390087825,0.990025062,3.920489954,0.988711107,5/12/2023,1.469597871,A5
18,6.084859558,0.98957984,5.011342143,0.993853267,5/19/2023,1.073517415,A5
19,9.522346483,0.9639264,7.701388664,0.977376833,2/10/2023,1.820957819,A6
22,6.699997848,0.994710845,5.355837648,0.970140861,4/28/2023,1.3441602,A8
33,7.312034643,0.97090696,5.679246651,0.969061337,1/27/2023,1.632787991,A9
33,6.996766482,0.980291908,5.020284372,0.984983279,4/21/2023,1.97648211,A9
33,7.159244402,0.984309512,5.388501592,0.990045507,5/5/2023,1.77074281,A9
34,6.718128141,0.991555977,5.693039063,0.993475435,5/5/2023,1.025089078,A10
41,4.972225372,0.906711827,3.635320694,0.977866165,3/10/2023,1.336904678,B3
45,3.906363134,0.957538195,2.823932558,0.974939322,5/19/2023,1.082430576,B7
45,4.763895944,0.966597018,3.259485702,0.967717539,5/5/2023,1.504410242,B7
